table_name,column_name,data_type,is_nullable,column_default
PLAN_LIST_DETAIL,description,text,YES,null
PLAN_LIST_DETAIL,genre,text,YES,null
PLAN_LIST_DETAIL,format,text,YES,null
PLAN_LIST_DETAIL,url,text,YES,null
PLAN_LIST_DETAIL,place_rad,bigint,YES,null
PLAN_LIST_DETAIL,place_id,bigint,YES,null
PLAN_LIST_DETAIL,mng_memb,text,YES,null
PLAN_LIST_DETAIL,fav_cnt,bigint,YES,'0'::bigint
PLAN_LIST_DETAIL,status,text,YES,null
PLAN_LIST_DETAIL,deadline,timestamp with time zone,YES,null
PLAN_LIST_DETAIL,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
PLAN_LIST_DETAIL,created_by,bigint,YES,null
PLAN_LIST_DETAIL,updated_at,timestamp with time zone,YES,null
PLAN_LIST_DETAIL,updated_by,bigint,YES,null
PLAN_LIST_DETAIL,act_kbn,boolean,YES,true
# PLAN_PAR_AVAIL 日程調整の候補日に対しての回答用のテーブル
PLAN_PAR_AVAIL,par_id,bigint,NO,null
PLAN_PAR_AVAIL,plan_id,bigint,NO,null
PLAN_PAR_AVAIL,date_id,bigint,NO,null
PLAN_PAR_AVAIL,emp_no,bigint,NO,null
PLAN_PAR_AVAIL,availability,text,YES,null
PLAN_PAR_AVAIL,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
PLAN_PAR_AVAIL,created_by,bigint,YES,null
PLAN_PAR_AVAIL,updated_at,timestamp with time zone,YES,null
PLAN_PAR_AVAIL,updated_by,bigint,YES,null
PLAN_PAR_AVAIL,act_kbn,boolean,YES,true
# USER_INFO 登録済みユーザー情報用のテーブル
USER_INFO,emp_no,bigint,NO,null
USER_INFO,myoji,text,YES,null
USER_INFO,namae,text,YES,null
USER_INFO,last_nm,text,YES,null
USER_INFO,first_nm,text,YES,null
USER_INFO,gender,text,NO,'1'::text
USER_INFO,email,text,YES,null
USER_INFO,act_kbn,boolean,NO,true
USER_INFO,login_count,bigint,YES,'0'::bigint
USER_INFO,birthday,date,YES,null
USER_INFO,icon_url,text,YES,null
USER_INFO,join_date,timestamp with time zone,YES,null
USER_INFO,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
USER_INFO,created_by,bigint,YES,null
USER_INFO,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
USER_INFO,updated_by,bigint,YES,null
# USER_ROLE ユーザーのロール用のテーブル
USER_ROLE,role_id,bigint,NO,null
USER_ROLE,role,text,YES,null
USER_ROLE,emp_no,bigint,YES,null
USER_ROLE,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
USER_ROLE,created_by,bigint,YES,null
USER_ROLE,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
USER_ROLE,updated_by,bigint,YES,null
USER_ROLE,act_kbn,boolean,YES,true
